lat,lon
20.5,25
21,25
21,25
21,25
21.5,25
21.5,25
21.5,25
22,25
22,25
22,25
22.5,25
22.5,25
22.5,25
23,25
23,25
23,25
23.5,25
23.5,25
23.5,25
24,25
24,25
24,25
24.5,25
24.5,25
24.5,25
25,25
25,25
25,25
25.5,25
25.5,25
25.5,25.01
26,25.01
26,25
26,25
26.5,25
26.5,25
26.5,25
27,25
27,25
27,25
27.5,25
27.5,25.01
27.5,25
28,25
28,25
28,25
28.5,25
28.5,25
28.5,25
29,25
29,25
29,25
29.5,25
29.5,25
29.5,25
30,25
30,25
30,25
30.5,25
30.5,25
30.5,25
31,25
31,25
31,25
31.5,25
31.5,25
31.5,25
32,25
32,25
32,25
32.5,25
32.5,25
32.5,25
33,25
33,25
33,25
33.5,25
33.5,25
33.5,25
34,25
34,25
34,25
34.5,25
34.5,25
34.5,25
35,25
35,25
35,25
35.5,25
35.5,25
35.5,25
36,25.3
36,25.3
36,25.3
36.5,25.6
36.5,25.6
36.5,25.6
37,25.9
37,25.9
37,25.9
37.5,26.2
37.5,26.2
37.5,26.2
38,26.44
38,26.44
38,26.44
38.5,26.87
38.5,26.87
38.5,26.87
39,27.17
38.99,27.16
39,27.16
39.5,27.48
39.5,27.48
39.5,27.49
40,27.8
40,27.8
40,27.8
40.5,28.1
40.5,28.1
40.5,28.1
41.01,28.41
41.01,28.4
41,28.41
41.5,28.72
41.5,28.72
41.5,28.71
42,29.03
42,29.03
42,29.03
42.5,29.35
42.5,29.35
42.5,29.35
43,29.65
43,29.64
43.01,29.64
43.5,29.96
43.5,29.96
43.5,29.96
44,30.27
44,30.26
44.01,30.26
44.5,30.58
44.5,30.58
44.5,30.59
45,30.9
45,30.9
45,30.9
45.5,31.2
45.49,31.19
45.48,31.17
46,31.51
46,31.51
45.99,31.51
46.5,31.81
46.5,31.81
46.49,31.8
47,32.14
47,32.12
47,32.1
47.5,32.47
47.51,32.46
47.54,32.43
48,32.75
48.01,32.78
48.01,32.8
48.5,33.06
48.5,33.07
48.5,33.09
49.01,33.37
49.01,33.37
49.01,33.37
49.5,33.67
49.5,33.67
49.51,33.68
50,34.01
50,34
50.01,33.96
50.5,34.3
50.5,34.3
50.5,34.3
51,34.61
51,34.61
51,34.61
51.5,34.93
51.5,34.93
51.5,34.93
52,35.23
52,35.23
52,35.23
52.5,35.55
52.5,35.55
52.5,35.55
53,35.85
53,35.85
53,35.85
53.26,36.03
53.26,36.03
53.26,36.03
53.43,36.12
53.43,36.12
53.43,36.12
53.59,36.21
53.59,36.21
53.6,36.21
53.74,36.24
53.74,36.24
53.74,36.24
53.85,36.38
53.85,36.38
53.85,36.38
55.23,34.74
55.23,34.74
55.23,34.74
55.27,34.63
55.27,34.63
55.27,34.63
55.33,34.53
55.33,34.53
55.33,34.53
55.6,34.18
55.6,34.18
55.6,34.18
56,33.63
56,33.63
56,33.63
56.5,32.95
56.5,32.95
56.5,32.95
57,32.29
57,32.29
57,32.29
57.5,31.6
57.5,31.6
57.5,31.6
58.03,30.91
58.03,30.91
58.03,30.91
58.5,30.93
58.5,30.93
58.5,30.93
59,30.92
59,30.92
59,30.93
59.5,30.92
59.5,30.92
59.5,30.92
60.01,30.9
60.01,30.9
60.01,30.9
